"Point"
"C-65, 14, catalunya"
"GIV-6703, 0, catalunya"
"N-340, 1.141, catalunya"
"B-112, 2, catalunya"
"A-2, 587, catalunya"
"C-66, 3, catalunya"
"A-2, 477, catalunya"
"Camí forestal cap a l’Estany, 0, catalunya"
"C-59, 19.1, catalunya"
"C-37, 150, catalunya"
"C-32, 50, catalunya"
"N-260, 41, catalunya"
"B-431, 49, catalunya"
"A-2, 460, catalunya"
"AP-7, 126, catalunya"
"N-420, 823, catalunya"
"C-25, 174, catalunya"
"GI-623, 7, catalunya"
"A-22, 2, catalunya"
"T-310, 2, catalunya"
"C-55, 14, catalunya"
"C-35, 60, catalunya"
"AP-7, 161, catalunya"
"C-13, 81, catalunya"
"N-II, 709, catalunya"
"C-243a, 0, catalunya"
"C-14, 106, catalunya"
"C-153, 9, catalunya"
"AP-7, 8, catalunya"
"C-58, 4, catalunya"
"C-31, 326, catalunya"
"A-2, 518, catalunya"
"T-702, 30, catalunya"
"A-2, 495, catalunya"
"A-7, 1.156, catalunya"
"N-II, 733, catalunya"
"N-IIa, 490, catalunya"
"C-53, 143, catalunya"
"AP-7, 311, catalunya"
"C-63, 6, catalunya"
"AP-7, 207, catalunya"
"B-24, 4, catalunya"
"AP-7, 44, catalunya"
"AP-7, 59, catalunya"
"N-141e, 111, catalunya"
"C-16, 129, catalunya"
"AP-7, 87, catalunya"
"C-15, 43, catalunya"
"C-31, 339, catalunya"
"C-14, 128, catalunya"
"Carretera Santa Engràcia, 8, catalunya"
"BV-2151, 0, catalunya"
"C-245, 11, catalunya"
"C-59, 37, catalunya"
"BV-5105, 4, catalunya"
"A-2, 466, catalunya"
"LP-9221, 0, catalunya"
"BV-2421, 1, catalunya"
"GIP-6531, 1, catalunya"
"N-II, 685, catalunya"
"C-32, 51, catalunya"
"BV-1201, 6, catalunya"
"TP-7225, 3, catalunya"
"C-12, 151, catalunya"
"T-11, 15, catalunya"
"C-14, 25, catalunya"
"N-420, 863, catalunya"
"T-331, 16, catalunya"
"C-16, 3, catalunya"
"N-II, 649, catalunya"
"AP-7, 158, catalunya"
"L-702, 6, catalunya"
"N-IIa, 493, catalunya"
"C-66, 43, catalunya"
"N-340a, 228, catalunya"
"C-63, 14, catalunya"
"C-31, 369, catalunya"
"AP-7, 185, catalunya"
"C-14, 140, catalunya"
"T-704, 3, catalunya"
"N-IIa, 8, catalunya"
"BV-2116, 3, catalunya"
"BV-2115, 11, catalunya"
"C-55, 39, catalunya"
"C-1412a, 13, catalunya"
"C-53, 118, catalunya"
"T-318, 22, catalunya"
"GI-681, 4, catalunya"
"N-141e, 109, catalunya"
"TV-3454, 9.3, catalunya"
"C-31B, 6, catalunya"
"C-17, 17, catalunya"
"C-58, 13, catalunya"
"C-60, 8, catalunya"
"C-59, 11, catalunya"
"C-35, 44, catalunya"
"C-17, 14, catalunya"
"B-231, 7, catalunya"
"C-260, 34, catalunya"
"N-II, 641, catalunya"
"LP-7041, 8, catalunya"
"N-II, 691, catalunya"
"C-32, 55, catalunya"
"N-340, 1.197, catalunya"
"N-340, 1.211, catalunya"
"C-1415a, 21, catalunya"
"C-31, 376, catalunya"
"N-II, 677, catalunya"
"C-17, 69, catalunya"
"B-522, 5, catalunya"
"N-340, 1.208, catalunya"
"C-1413a, 5, catalunya"
"C-13, 141, catalunya"
"TP-3311, 11, catalunya"
"N-340, 1224, catalunya"
"C-1412a, 51, catalunya"
"T-342, 3, catalunya"
"AP-7, 258, catalunya"
"A-2, 565, catalunya"
"GI-513, 9, catalunya"
"T-340, 4, catalunya"
"C-55, 1, catalunya"
"C-58, 14, catalunya"
"C-32, 61, catalunya"
"A-14, 2, catalunya"
"C-12, 104, catalunya"
"C-35, 42, catalunya"
"T-721, 7, catalunya"
"GIV-5334, 1, catalunya"
"C-62, 23, catalunya"
"B-20, 19, catalunya"
"TV-3141, 4, catalunya"
"C-230a, 19, catalunya"
"N-260, 27, catalunya"
"GI-681, 3, catalunya"
"C-35, 64, catalunya"
"N-230, 157, catalunya"
"T-310, 27, catalunya"
"T-11, 9, catalunya"
"A-2, 462, catalunya"
"BP-5107, 44, catalunya"
"TP-2442, 2, catalunya"
"LV-7022, 1, catalunya"
"BV-5105, 2, catalunya"
"B-224, 21, catalunya"
"N-260, 186, catalunya"
"C-63, 38, catalunya"
"N-141e, 104, catalunya"
"C-13, 32, catalunya"
