titol_accident;data_publicacio;hora_publicacio;total_victimes;data_accident;hora_avis;via;descripcio_accident;enllac
Un motorista ha mort en un accident a la C-65 a Llagostera (Gironès);30/10/2021;16:56;113;30 d’octubre de 2021;13.18;C-65, al punt quilomètric 14,5 a Llagostera (Gironès) ; El Servei Català de Trànsit informa que aquest migdia s’ha registrat un sinistre viari mortal al punt quilomètric 14,5 de la C-65, a l’altura de Llagostera (Gironès). Els Mossos d’Esquadra han rebut l’avís a les 13.18 h.Per causes que encara s’estan investigant, hi ha hagut una sortida de via d’una motocicleta i el seu conductor ha mort. Es tracta de D.O.B., de 45 anys i veí de Cassà de la Selva.Arran de la incidència, s’han activat quatre patrulles dels Mossos d’Esquadra, una dotació dels Bombers de la Generalitat i dues ambulàncies i l’helicòpter del Sistema d’Emergències Mèdiques (SEM).Quant a l’afectació viària, la via s’ha tallat en ambdós sentits de la marxa. A partir de les 14.01 h, s’ha començat a donar pas alternatiu fins a les 15.14 h, quan s’ha obert la via. Hi ha hagut 4 km de retenció, que s’ha normalitzat cap a les 15.39 h.   El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web victimestransit.gencat.cat.;/ca/detalls/Noticia/20211030_acc_c65
Una ciclista ha mort en un accident a la GIV-6703 a Quart (Gironès);30/10/2021;14:20;112;30 d’octubre de 2021;08.01;GIV-6703, al punt quilomètric 0,5 a Quart (Gironès) en sentit nord; El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal al punt quilomètric 0,5 de la GIV-6703, a l’altura de Quart (Gironès) en sentit nord. Els Mossos d’Esquadra han rebut l’avís a les 08.01 h.Per causes que encara s’estan investigant, hi ha hagut una col·lisió entre un turisme i una ciclista. A conseqüència de l’accident, la ciclista ha resultat ferida crítica i els efectius del Sistema d’Emergències Mèdiques l’han traslladat a l’hospital Josep Trueta de Girona, on posteriorment ha mort. Es tracta de C.V.V, de 35 anys i veïna de Girona.Segons Mossos, el conductor del turisme ha fugit del lloc de l’accident, però gràcies a la col·laboració ciutadana, s’ha localitzat i  ha estat sotmès a les proves de detecció d’alcoholèmia i ha donat com a resultat la taxa penal de 0,87 mg/l. L’home ha quedat detingut com a presumpte autor de l’homicidi imprudent i un delicte contra la seguretat viària.Arran de la incidència, s’han activat tres patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM).Quant a l’afectació viària, la via s’ha tallat en ambdós sentits de la marxa. Cap a les 12.30 h, s’ha pogut obrir i la situació s’ha normalitzat.El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web victimestransit.gencat.cat.;/ca/detalls/Noticia/20211030_acc_GIV6703
Un ciclista ha mort en un accident a l’N-340 a Cambrils (Baix Camp);25/10/2021;20:26;111;25 d’octubre de 2021;17.43;N-340, al punt quilomètric 1.141 a Cambrils (Baix Camp);El Servei Català de Trànsit informa que aquesta tarda s’ha registrat un sinistre viari mortal al punt quilomètric 1.141 de l’N-340, a l’altura de Cambrils (Baix Camp). Els Mossos d’Esquadra han rebut l’avís a les 17.43 h.Per causes que encara s’estan investigant, una furgoneta ha envestit un ciclista, que ha mort com a conseqüència del xoc. Es tracta de H.J.K., un home de 74 anys.El conductor de la furgoneta ha estat sotmès a les proves de detecció d’alcoholèmia i ha donat com a resultat la taxa penal de 0,88 mg/l, motiu pel qual ha quedat detingut com a presumpte autor d’un homicidi imprudent i un delicte contra la seguretat del trànsit.Arran de la incidència, s’han activat cinc patrulles dels Mossos d’Esquadra, una dotació dels Bombers de la Generalitat i dues unitats del Sistema d’Emergències Mèdiques (SEM).Quant a l’afectació viària, la via ha estat tallada en els dos sentits durant mitja hora, i posteriorment ha estat tallada en sentit nord fins a les 20.00 hEl Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web victimestransit.gencat.cat.;/ca/detalls/Noticia/20211025_acc_N340_Cambrils
Un motorista ha mort en una col·lisió frontal a la B-112 a Collbató (Baix Llobregat);24/10/2021;18:00;110;24 d’octubre de 2021;14.38;B-112, al punt quilomètric 2, a Collbató (Baix Llobregat); El Servei Català de Trànsit informa que aquest migdia s’ha registrat un sinistre viari mortal al punt quilomètric 2 de la B-112, a l’altura de Collbató (Baix Llobregat). Els Mossos d’Esquadra han rebut l’avís a les 14.38 h.Per causes que encara s’estan investigant, un turisme i una motocicleta han xocat frontalment i, com a conseqüència de l’accident, ha mort el motorista. Es tracta d’un home de 55 anys, A.J.A., veí de Sant Cugat del Vallès. El conductor del turisme ha resultat il·lès.Arran de la incidència, s’han activat tres patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i una ambulància i l’helicòpter del Sistema d’Emergències Mèdiques (SEM).Quant a l’afectació viària, la via ha estat tallada en els dos sentits de la marxa fins a les 17.30 hores aproximadament.El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web victimestransit.gencat.cat.;/ca/detalls/Noticia/20211024_acc_B112_Collbato
Un motorista ha mort en un accident amb un camió a l’A-2 a Castellbisbal (Vallès Occidental);18/10/2021;19:03;109;18 d’octubre de 2021;08.21;A-2, al punt quilomètric 587 a Castellbisbal (Vallès Occidental);El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal al punt quilomètric 587 de l’A-2, a l’altura de Castellbisbal (Vallès Occidental) en direcció Lleida. Els Mossos d’Esquadra han rebut l’avís a les 08.21 h.Per causes que encara s’estan investigant, han xocat un camió i una motocicleta. Com a conseqüència de l’accident, ha mort el conductor del vehicle de dues rodes. Es tracta de C.R.H., un home de 24 anys i veí de Cunit.Arran de la incidència, que ha provocat que es tallessin 2 carrils de l’autovia en direcció Lleida, s’han activat cinc patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i tres ambulàncies i l’helicòpter del Sistema d’Emergències Mèdiques (SEM).El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web victimestransit.gencat.cat.  ;/ca/detalls/Noticia/20211018_acc_A2_Castellbisbal
El conductor d’un turisme ha mort en un accident a la C-66 a Torrent (Baix Empordà);17/10/2021;15:34;108;17 d’octubre de 2021;06.55;C-66, al punt quilomètric 3,5 a Torrent (Baix Empordà);El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal al punt quilomètric 3,5 de la C-66, a l’altura de Torrent (Baix Empordà). Els Mossos d’Esquadra han rebut l’avís a les 06.55 h.Per causes que encara s’estan investigant, dos turismes han xocat frontalment. Com a conseqüència de l’accident, ha mort el conductor d’un dels turismes. Es tracta d'un home de 54 anys, N.A., veí de Sant Celoni. L’altre conductor ha resultat ferit menys greu i l’han traslladat a l’Hospital de Palamós.Arran de la incidència, s’han activat diverses patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat i dues unitats del Sistema d’Emergències Mèdiques (SEM).El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web victimestransit.gencat.cat.;/ca/detalls/Noticia/20211017_acc_C66_Torrent
El conductor d’un totterreny ha mort en un accident a l’A-2 a Bell-lloc d’Urgell (Pla d’Urgell);17/10/2021;11:58;107;16 d’octubre de 2021;22.54;A-2, al punt quilomètric 477 a Bell-lloc d’Urgell (Pla d’Urgell);El Servei Català de Trànsit informa que ahir a la nit es va registrar un sinistre viari mortal al punt quilomètric 477 de l’A-2, a l’altura de Bell-lloc d’Urgell (Pla d’Urgell). Els Mossos d’Esquadra van rebre l’avís a les 22.54 h.Per causes que encara s’estan investigant, un turisme i un totterreny van xocar (col·lisió per encalç). Com a conseqüència de l’accident, va morir el conductor del totterreny. Es tracta de J,A.R.G., un home de 55 anys i veí d’Alcoletge. L’acompanyant del totterreny va resultar ferida menys greu i la van traslladar a l’Hospital Arnau de Vilanova de Lleida. El conductor del turisme va fugir del lloc de l’accident.Arran de la incidència, es van activar diverses patrulles dels Mossos d’Esquadra, cinc dotacions de Bombers de la Generalitat i tres unitats del Sistema d’Emergències Mèdiques (SEM).El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web victimestransit.gencat.cat.;/ca/detalls/Noticia/20211017_acc_A2_Bell-lloc
Un motorista ha mort en una sortida de via en una pista forestal a Muntanyola (Osona);12/10/2021;18:59;106;12 d’octubre de 2021;12.17;Camí forestal cap a l’Estany, al punt quilomètric 0, a Muntanyola (Osona); El Servei Català de Trànsit informa que aquest migdia s’ha registrat un sinistre viari mortal al punt quilomètric 0 del camí forestal cap a l’Estany, a Muntanyola (Osona). Els Mossos d’Esquadra han rebut l’avís a les 12.17 h.Per causes que encara s’estan investigant, una motocicleta ha patit una sortida de via, ha caigut i el motorista ha resultat mort. Es tracta d’un home de 59 anys, J.I.L.Q., veí de Caldes de Montbui.Arran de la incidència, s’han activat quatre patrulles dels Mossos d’Esquadra i una ambulància i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques (SEM).El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web victimestransit.gencat.cat.;/ca/detalls/Noticia/20211012_acc_pista_forestal_Muntanyola
El conductor d’un turisme ha mort en una sortida de via a la C-59 a Caldes de Montbui (Vallès Oriental);12/10/2021;11:30;105;12 d’octubre de 2021;03.33;C-59, al punt quilomètric 19.1 a Caldes de Montbui (Vallès Oriental); El Servei Català de Trànsit informa que aquesta matinada s’ha registrat un sinistre viari mortal al punt quilomètric 19.1 de la C-59, a l’altura de Caldes de Montbui (Vallès Oriental), en sentit Sant Feliu de Codines. Els Mossos d’Esquadra han rebut l’avís a les 03.33 h.Per causes que encara s’estan investigant, un turisme ha sortit de la via i ha caigut per un desnivell de 7 metres. Com a conseqüència de l’accident, el conductor ha resultat mort. Es tracta d’un home de 38 anys, C.J.T.P., veí de la Llagosta. D’altra banda, la passatgera davantera del turisme ha resultat ferida en estat crític i ha estat traslladada a l’hospital de Sant Pau de Barcelona.Arran de la incidència, s’han activat set patrulles dels Mossos d’Esquadra, quatre dotacions de Bombers de la Generalitat, els quals han efectuat tasques d’excarceració, i quatre unitats del Sistema d’Emergències Mèdiques (SEM).El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web victimestransit.gencat.cat.     ;/ca/detalls/Noticia/20211012_acc_C59_CaldesMontbui
La conductora d’un turisme ha mort en una col·lisió frontal a la C-37 a Manlleu (Osona);10/10/2021;13:05;104;10 d’octubre de 2021;07.04;C-37, al punt quilomètric 150 a Manlleu (Osona); El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal al punt quilomètric 150 de la C-37, a l’altura de Manlleu (Osona). Els Mossos d’Esquadra han rebut l’avís a les 07.04 h.Per causes que encara s’estan investigant, hi ha hagut un xoc frontal entre dos turismes. Com a conseqüència de l’accident, la conductora d’un dels vehicles ha resultat ferida crítica i ha estat traslladada a l’Hospital de Vic, on ha mort posteriorment. Es tracta de M. B. G., de 64 anys i veïna de la Vall d’en Bas. El passatger davanter ha resultat ferit menys greu i l’han traslladat al mateix centre hospitalari. A més, el conductor del segon cotxe implicat en el sinistre ha resultat ferit crític i ha estat evacuat en helicòpter a l’Hospital Vall d’Hebron.Arran de la incidència, s’han activat sis patrulles dels Mossos d’Esquadra, sis dotacions de Bombers de la Generalitat i tres unitats i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques (SEM).Pel que fa a l’afectació viària, la C-37 ha estat tallada a Manlleu en els dos sentits de la marxa fins a les 09.24 h aproximadament. El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web victimestransit.gencat.cat.;/ca/detalls/Noticia/20211010_acc_C37_Manlleu
